Id	Oxygen	Centroid Size	Log Centroid Size
Control_045F-WING	Control	2.6690211262833152	0.981711785821302
Control_046M-WING	Control	2.3259718666341036	0.8441379588531207
Control_047F-WING	Control	2.7033732315954198	0.9945003382635257
Control_048M-WING	Control	2.380170037483317	0.8671719294520809
Control_049M-WING	Control	2.3701291320657334	0.862944439766411
Control_004M-WING	Control	2.1908503529969066	0.7842897575034119
Control_050M-WING	Control	2.4242294581687878	0.885513724687723
Control_051M-WING	Control	2.375353791192659	0.865146391105162
Control_052F-WING	Control	2.6809394519284964	0.9861672748617197
Control_053F-WING	Control	2.6834505881246753	0.9871034992454243
Control_054F-WING	Control	2.6461917660492147	0.9731215370081568
Control_055F-WING	Control	2.534573312358513	0.9300253042797344
Control_057F-WING	Control	2.673727079664888	0.9834734090223873
Control_058M-WING	Control	2.3083342574823664	0.8365261637585841
Control_061F-WING	Control	2.721668084830821	1.0012449588187835
Control_064M-WING	Control	2.304846744738862	0.8350141860554684
Control_069M-WING	Control	2.3189852153014403	0.8411296827901305
Control_006M-WING	Control	2.4024181910871945	0.8764758097059324
Control_071F-WING	Control	2.5649186352605153	0.9419267569736087
Control_007M-WING	Control	2.391924005490141	0.872098065303658
Control_080F-WING	Control	2.577799662709781	0.9469361911443179
Control_081F-WING	Control	2.7400694439861684	1.0079832645993114
Control_008M-WING	Control	2.365688286366851	0.8610690097790877
Control_009M-WING	Control	2.3474920945951374	0.8533475645100046
Hypoxia_100M-WING	Hypoxia	2.052022212949947	0.7188257522742736
Hypoxia_101M-WING	Hypoxia	1.9844670043817825	0.68535036643699
Hypoxia_102F-WING	Hypoxia	2.3599930057466967	0.8586586553664731
Hypoxia_103F-WING	Hypoxia	2.1884575092668976	0.7831969620008367
Hypoxia_106M-WING	Hypoxia	1.8727865859622126	0.6274274746113586
Hypoxia_107M-WING	Hypoxia	1.807378711541478	0.5918775699176669
Hypoxia_108F-WING	Hypoxia	2.049751029538302	0.7177183367690828
Hypoxia_108M-WING	Hypoxia	1.929224139447428	0.6571179218067109
Hypoxia_109F-WING	Hypoxia	2.1949692853249685	0.7861680534109939
Hypoxia_010M-WING	Hypoxia	2.026266980770304	0.706195174425134
Hypoxia_110M-WING	Hypoxia	1.9212127372330914	0.6529566206184785
