Id	Temp	Centroid Size	Log Centroid Size
25C_044M-WING	25C	2.3350801798368	0.8480462287911876
25C_045F-WING	25C	2.6690211262833152	0.981711785821302
25C_046M-WING	25C	2.3259718666341036	0.8441379588531207
25CC_047F-WING	25C	2.7033732315954198	0.9945003382635257
25C_048M-WING	25C	2.380170037483317	0.8671719294520809
25C_049M-WING	25C	2.3701291320657334	0.862944439766411
25C_004M-WING	25C	2.1908503529969066	0.7842897575034119
25C_050M-WING	25C	2.4242294581687878	0.885513724687723
25C_051M-WING	25C	2.375353791192659	0.865146391105162
25C_052F-WING	25C	2.6809394519284964	0.9861672748617197
25C_053F-WING	25C	2.6834505881246753	0.9871034992454243
25C_054F-WING	25C	2.6461917660492147	0.9731215370081568
25C_055F-WING	25C	2.534573312358513	0.9300253042797344
25C_057F-WING	25C	2.673727079664888	0.9834734090223873
25C_058M-WING	25C	2.3083342574823664	0.8365261637585841
25C_061F-WING	25C	2.721668084830821	1.0012449588187835
25C_064M-WING	25C	2.304846744738862	0.8350141860554684
25C_069M-WING	25C	2.3189852153014403	0.8411296827901305
25C_006M-WING	25C	2.4024181910871945	0.8764758097059324
25C_071F-WING	25C	2.5649186352605153	0.9419267569736087
25C_007M-WING	25C	2.391924005490141	0.872098065303658
25C_080F-WING	25C	2.577799662709781	0.9469361911443179
25C_081F-WING	25C	2.7400694439861684	1.0079832645993114
25C_008M-WING	25C	2.365688286366851	0.8610690097790877
25C_009M-WING	25C	2.3474920945951374	0.8533475645100046
17C_100M-WING	17C	2.7174167382448595	0.9996817004435129
17C_101M-WING	17C	2.637656501004887	0.9698908339157131
17C_102M-WING	17C	2.654516171671715	0.9762624051954618
17C_104M-WING	17C	2.6639850261916522	0.9798231318634166
17C_105M-WING	17C	2.6320093746590905	0.9677475752572938
17C_106M-WING	17C	3.1667502705286594	1.152705910809456
17C_107M-WING	17C	2.8632112455027356	1.0519438080614127
17C_108M-WING	17C	2.6612911025640664	0.9788113819401256
17C_110F-WING	17C	3.157181603213009	1.149679731903995
17C_114M-WING	17C	2.8152608390295444	1.035054917700203
17C_115F-WING	17C	3.0660917583573175	1.1204037077112943
17C_116F-WING	17C	2.9480674541287777	1.0811498553844407
17C_118M-WING	17C	2.7927967879218616	1.0270435266797915
17C_119F-WING	17C	3.1691109349195505	1.1534510863818308
17C_121F-WING	17C	2.9455326000957234	1.0802896496812922
17C_123M-WING	17C	2.659291551660579	0.978059753358231
17C_125F-WING	17C	2.9591075513179077	1.0848877199416824
17C_127F-WING	17C	2.903892295514188	1.0660520079532003
17C_128F-WING	17C	2.9540960683994917	1.0831927050426284
17C_130M-WING	17C	2.6775554377329587	0.9849042281610727
17C_131M-WING	17C	2.7692389966800155	1.0185725520134987
17C_132M-WING	17C	2.6166498520844024	0.9618948171505554
17C_133M-WING	17C	2.9989546301091874	1.0982637713127201
