Id,Condition,Sex,Centroid Size,Log Centroid Size,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15
S_031M-WING,standard,M,2.218269707,0.7967274805,0.69961,1.68138,0.67641,1.58475,0.59653,1.51775,0.68543,1.37345,0.72795,1.40695,0.8336,1.52935,0.94827,1.66334,1.04233,1.45075,1.02171,1.39406,1.31805,1.24074,1.23559,1.11061,1.95581,1.48812,2.2019,1.12092,2.08466,0.95987,1.40179,0.8336
S_032M-WING,standard,M,2.30870961,0.8366887579,0.4226,1.41468,0.46254,1.31547,0.42388,1.2227,0.57721,1.1338,0.59782,1.18663,0.63003,1.35541,0.65451,1.52548,0.85679,1.39664,0.86452,1.3348,1.20724,1.36056,1.21497,1.20853,1.62984,1.93005,2.05631,1.7677,2.04987,1.568,1.51775,1.06294
S_033F-WING,standard,F,2.65661871,0.9770541525,0.76918,2.06533,0.69188,1.98158,0.58236,1.94937,0.58107,1.75224,0.65065,1.75611,0.8336,1.82697,1.02815,1.9017,1.02429,1.61696,0.96502,1.57573,1.18534,1.25749,1.04361,1.14153,2.00477,1.15828,2.0795,0.68414,1.89912,0.57205,1.09644,0.77176
S_034M-WING,standard,M,2.354420301,0.8562945406,0.56561,1.63886,0.58365,1.52162,0.52953,1.43787,0.66611,1.31805,0.69961,1.36443,0.77562,1.52162,0.84649,1.68911,1.02042,1.50744,1.00883,1.44431,1.33995,1.37345,1.3232,1.21884,1.91974,1.8128,2.28178,1.53192,2.21736,1.34253,1.57187,1.01011
S_035F-WING,standard,F,2.613692905,0.9607641273,0.55401,1.03717,0.62488,0.92894,0.61844,0.80397,0.82458,0.74985,0.83231,0.82072,0.80912,1.01785,0.79624,1.22399,1.05263,1.12994,1.07711,1.06294,1.41725,1.17761,1.48554,1.01527,1.76899,1.93133,2.22509,1.86562,2.29209,1.68911,1.89397,0.96889
S_036M-WING,standard,M,2.367275235,0.861739604,0.77562,1.42885,0.80268,1.3232,0.76274,1.22915,0.91348,1.12994,0.94312,1.18147,0.99465,1.34897,1.05006,1.52806,1.23559,1.36443,1.23816,1.30387,1.56413,1.28841,1.58346,1.1338,2.09496,1.83986,2.47376,1.62469,2.45314,1.41597,1.86047,0.96115
S_037F-WING,standard,F,2.700642805,0.9934898207,0.47027,1.48554,0.49217,1.37087,0.43806,1.26651,0.59782,1.13896,0.63905,1.2008,0.69188,1.38504,0.77047,1.58217,0.9895,1.40695,0.98692,1.33093,1.36314,1.30516,1.37474,1.11963,1.97385,1.88882,2.39903,1.66334,2.38099,1.44045,1.68782,0.92379
S_038F-WING,standard,F,2.725262691,1.002564824,0.57978,1.15571,0.64678,1.04748,0.62745,0.92508,0.82716,0.86195,0.83876,0.93023,0.84649,1.1338,0.83102,1.3451,1.10932,1.2459,1.12865,1.1789,1.49327,1.28326,1.55254,1.10803,1.90685,2.04085,2.37584,1.93391,2.41964,1.72261,1.93906,1.02429
S_039M-WING,standard,M,2.282059597,0.8250783673,0.60684,1.66978,0.61972,1.56671,0.56175,1.48554,0.68286,1.37087,0.71378,1.41081,0.79237,1.56156,0.85679,1.72905,1.01269,1.54481,1.00367,1.48554,1.32707,1.42241,1.3116,1.27553,1.9017,1.8463,2.26375,1.56929,2.19288,1.38762,1.568,1.06423
S_040F-WING,standard,F,2.594775304,0.9534999248,1.31289,0.65838,1.19822,0.70347,1.09257,0.6674,1.01011,0.83618,1.06552,0.86324,1.24461,0.89545,1.43787,0.93023,1.30516,1.15828,1.23945,1.16472,1.27811,1.53579,1.11061,1.55512,1.92876,2.04729,1.75997,2.48149,1.55125,2.47118,0.97146,1.89139
