disc,area,A,B,C,D,Temp
MAX_17C_5dec_14.oif,186053.17,0.105612381,0.943717441,10.12047423,78.17584889,17C
MAX_17C_5dec_15.oif,149860.672,0.495994637,0.915480258,3.879871099,30.29100142,17C
MAX_17C_5dec_16.oif,131460.064,0.517581525,0.979618233,0.33438711,30.14623281,17C
MAX_17C_5dec_17.oif,135742.725,0.475536369,0.911256902,-0.983132629,32.91811896,17C
MAX_17C_5dec_4.oif,183242.868,0.540287477,0.915857972,-5.808052265,50.8098223,17C
MAX_17C_5dec_6.oif,205138.201,0.576207648,0.93456906,12.85338595,55.9071664,17C
MAX_17C_6dec_2.oif,134860.546,0.512832289,0.922691063,9.018445399,37.07591541,17C
MAX_17C_6dec_3.oif,195906.997,0.43632938,0.918796599,18.99884001,60.8164234,17C
MAX_17C_6dec_4.oif,155864.431,0.582207379,0.915414845,0.794210114,39.5936446,17C
MAX_17C_6dec_6.oif,182471.927,0.43882864,0.897985714,5.766834768,60.62506302,17C
MAX_17C_6dec_8.oif,195801.939,0.724959697,0.954963972,9.524297865,21.81174468,17C
MAX_17C_8dec_2.oif,273606.695,0.64590734,0.917835587,15.8659729,45.87859265,17C
MAX_17C_8dec_3.oif,204452.234,0.275729609,0.928135779,10.83673046,74.44136458,17C
MAX_17C_8dec_4.oif,148063.871,0.566650584,0.922874078,10.07085693,44.04152594,17C
MAX_17C_8dec_5.oif,213158.147,0.388544504,0.903723157,4.890545556,62.62550267,17C
MAX_17C_8dec_6.oif,171138.017,0.59664627,0.943702462,-1.568300019,29.36102253,17C
MAX_17C_Vg_10.oif,119837.245,0.559306481,0.931505886,-5.33779986,28.82078936,17C
MAX_17C_Vg_12.oif,215923.646,0.505337565,0.909154556,16.70154715,45.22143593,17C
MAX_17C_Vg_13.oif,170489.129,0.509136137,0.9030395,12.79343363,48.22280489,17C
MAX_17C_Vg_2.oif,218584.086,0.518325186,0.903132502,6.406674851,36.52954288,17C
MAX_17C_Vg_4.oif,212893.957,0.722293998,0.924203445,6.521239245,25.49636941,17C
MAX_17C_Vg_5.oif,173875.707,0.389535345,0.847464853,6.901047246,47.5693102,17C
MAX_17C_Vg_7.oif,173560.532,0.392155098,0.830909936,5.846187793,45.82694916,17C
MAX_26thoct_1.oif,118208.845,0.663780143,0.947928425,2.459915638,36.02281872,25C
MAX_26thoct_10.oif,153695.291,0.563101964,0.919499186,-3.98659937,55.41444559,25C
MAX_26thoct_11.oif,172085.085,0.596085116,0.94395793,10.06777103,53.19329178,25C
MAX_26thoct_2.oif,147873.839,0.59687568,0.946642566,4.484806068,52.75383845,25C
MAX_26thoct_4.oif,140215.417,0.596677781,0.950918015,4.186046434,44.62846078,25C
MAX_26thoct_5.oif,180526.808,0.63676972,0.927995296,3.39897891,37.60719669,25C
MAX_26thoct_7.oif,119622.494,0.601847766,0.959152031,-5.32229297,43.43822202,25C
MAX_26thoct_9.oif,251649.562,0.660238102,0.936241716,15.63486298,52.80271973,25C
MAX_31stoct_10.oif,160009.589,0.787176861,0.964034311,4.76860423,36.48290342,25C
MAX_31stoct_12.oif,167437.811,0.746226387,0.947196848,4.437192342,36.15017332,25C
MAX_31stoct_13.oif,116877.08,0.738891349,0.95434485,-2.672371302,31.43359868,25C
MAX_31stoct_14.oif,165999.443,0.588222128,0.925949184,2.168120041,52.96971545,25C
MAX_31stoct_8.oif,173733.569,0.620481926,0.960476051,6.646437392,50.6208146,25C
MAX_31stoct_9.oif,40130.63,0.588896484,0.933783918,-12.76738773,47.04392594,25C
MAX_5thoct_1.oif,74725.628,0.510275102,0.933883655,6.079081469,43.05565095,25C
MAX_5thoct_10.oif,104126.432,0.480386392,0.919242267,0.844308287,36.01249267,25C
MAX_5thoct_11.oif,120741.053,0.525484188,0.910131284,1.048161735,26.09260081,25C
MAX_5thoct_12.oif,99126.904,0.356474878,0.933021413,-0.936783086,50.44723269,25C
MAX_5thoct_13.oif,66858.634,0.478687664,0.92889069,1.438804108,25.95167787,25C
MAX_5thoct_16.oif,131793.778,0.700259937,0.901083191,-20.0065148,33.64335976,25C
MAX_5thoct_2.oif,50191.483,0.521233456,0.903300579,-3.115557398,28.45380749,25C
MAX_5thoct_3.oif,59892.358,0.560379644,0.930412871,-4.220120908,27.2192258,25C
MAX_5thoct_4.oif,100491.114,0.526996565,0.975003938,0.703067346,38.3238185,25C
MAX_5thoct_5.oif,56864.214,0.458488497,0.925678492,1.742642845,36.44557998,25C
MAX_5thoct_6.oif,79575.292,0.461129756,0.944046959,1.718312859,39.23773602,25C
MAX_5thoct_7.oif,85583.686,0.412578312,0.921479999,-0.713262645,43.33602333,25C
MAX_5thoct_8.oif,58061.567,0.481605232,0.927281626,-3.381476321,25.39590267,25C
MAX_5thoct_9.oif,66036.709,0.506179283,0.924912147,0.252094219,23.48856193,25C
MAX_6thoct_1.oif,113417.889,0.608868893,0.930974321,2.88496538,27.89545671,25C
MAX_6thoct_3.oif,168934.888,0.15412032,0.95304591,5.591495743,67.44042105,25C
MAX_6thoct_6.oif,167317.303,0.548265861,0.98211596,3.47428561,46.99903869,25C
MAX_6thoct_7.oif,161151.323,0.526858193,0.937489492,2.340658859,42.2189582,25C

