disc,distance,value,area
MAX_hypoxia_1feb_10.oif,98.195,2957.157,130811.176
MAX_hypoxia_1feb_10.oif,99.438,2943.222,130811.176
MAX_hypoxia_1feb_10.oif,100.68,2896.818,130811.176
MAX_hypoxia_1feb_10.oif,101.923,2865.323,130811.176
MAX_hypoxia_1feb_10.oif,103.166,2827.024,130811.176
MAX_hypoxia_1feb_10.oif,104.409,2761.301,130811.176
MAX_hypoxia_1feb_10.oif,105.652,2688.867,130811.176
MAX_hypoxia_1feb_10.oif,106.895,2661.147,130811.176
MAX_hypoxia_1feb_10.oif,108.138,2615.266,130811.176
MAX_hypoxia_1feb_10.oif,109.381,2586.751,130811.176
MAX_hypoxia_1feb_10.oif,110.624,2580.572,130811.176
MAX_hypoxia_1feb_10.oif,111.867,2561.212,130811.176
MAX_hypoxia_1feb_10.oif,113.11,2525.174,130811.176
MAX_hypoxia_1feb_10.oif,114.353,2494.368,130811.176
MAX_hypoxia_1feb_10.oif,115.596,2478.001,130811.176
MAX_hypoxia_1feb_10.oif,116.839,2487.663,130811.176
MAX_hypoxia_1feb_10.oif,118.082,2457.881,130811.176
MAX_hypoxia_1feb_10.oif,119.325,2400.505,130811.176
MAX_hypoxia_1feb_10.oif,120.568,2323.805,130811.176
MAX_hypoxia_1feb_10.oif,121.811,2271.636,130811.176
MAX_hypoxia_1feb_10.oif,123.054,2215.77,130811.176
MAX_hypoxia_1feb_10.oif,124.297,2176.268,130811.176
MAX_hypoxia_1feb_10.oif,125.54,2168.489,130811.176
MAX_hypoxia_1feb_10.oif,126.783,2171.57,130811.176
MAX_hypoxia_1feb_10.oif,128.026,2133.812,130811.176
MAX_hypoxia_1feb_10.oif,129.269,2128.346,130811.176
MAX_hypoxia_1feb_10.oif,130.512,2111.787,130811.176
MAX_hypoxia_1feb_10.oif,131.755,2112.745,130811.176
MAX_hypoxia_1feb_10.oif,132.998,2113.664,130811.176
MAX_hypoxia_1feb_10.oif,134.241,2074.435,130811.176
MAX_hypoxia_1feb_10.oif,135.484,2045.698,130811.176
MAX_hypoxia_1feb_10.oif,136.727,2046.508,130811.176
MAX_hypoxia_1feb_10.oif,137.97,2013.694,130811.176
MAX_hypoxia_1feb_10.oif,139.212,1998.035,130811.176
MAX_hypoxia_1feb_10.oif,140.455,1993.243,130811.176
MAX_hypoxia_1feb_10.oif,141.698,1973.471,130811.176
MAX_hypoxia_1feb_10.oif,142.941,1958.599,130811.176
MAX_hypoxia_1feb_10.oif,144.184,1923.777,130811.176
MAX_hypoxia_1feb_10.oif,145.427,1911.26,130811.176
MAX_hypoxia_1feb_10.oif,146.67,1937.168,130811.176
MAX_hypoxia_1feb_10.oif,147.913,1930.561,130811.176
MAX_hypoxia_1feb_10.oif,149.156,1923.863,130811.176
MAX_hypoxia_1feb_10.oif,150.399,1869.519,130811.176
MAX_hypoxia_1feb_10.oif,151.642,1832.465,130811.176
MAX_hypoxia_1feb_10.oif,152.885,1824.965,130811.176
MAX_hypoxia_1feb_10.oif,154.128,1785.806,130811.176
MAX_hypoxia_1feb_10.oif,155.371,1763.634,130811.176
MAX_hypoxia_1feb_10.oif,156.614,1768.042,130811.176
MAX_hypoxia_1feb_10.oif,157.857,1787.87,130811.176
MAX_hypoxia_1feb_10.oif,159.1,1783.449,130811.176
MAX_hypoxia_1feb_10.oif,160.343,1768.601,130811.176
MAX_hypoxia_1feb_10.oif,161.586,1734.006,130811.176
MAX_hypoxia_1feb_10.oif,162.829,1682.357,130811.176
MAX_hypoxia_1feb_10.oif,164.072,1656.354,130811.176
MAX_hypoxia_1feb_10.oif,165.315,1613.186,130811.176
MAX_hypoxia_1feb_10.oif,166.558,1587.841,130811.176
MAX_hypoxia_1feb_10.oif,167.801,1528.703,130811.176
MAX_hypoxia_1feb_10.oif,169.044,1515.072,130811.176
MAX_hypoxia_1feb_10.oif,170.287,1480.728,130811.176
MAX_hypoxia_1feb_10.oif,171.53,1502.154,130811.176
MAX_hypoxia_1feb_10.oif,172.773,1519.933,130811.176
MAX_hypoxia_1feb_10.oif,174.016,1524.8,130811.176
MAX_hypoxia_1feb_10.oif,175.259,1577.242,130811.176
MAX_hypoxia_1feb_10.oif,176.502,1610.202,130811.176
MAX_hypoxia_1feb_10.oif,177.745,1620.041,130811.176
MAX_hypoxia_1feb_10.oif,178.988,1615.291,130811.176
MAX_hypoxia_1feb_10.oif,180.23,1612.043,130811.176
MAX_hypoxia_1feb_10.oif,181.473,1599.972,130811.176
MAX_hypoxia_1feb_10.oif,182.716,1632.188,130811.176
MAX_hypoxia_1feb_10.oif,183.959,1615.79,130811.176
MAX_hypoxia_1feb_10.oif,185.202,1574.539,130811.176
MAX_hypoxia_1feb_11.oif,0,1361.435,192610.029
MAX_hypoxia_1feb_11.oif,1.243,1373.958,192610.029
MAX_hypoxia_1feb_11.oif,2.486,1386.681,192610.029
MAX_hypoxia_1feb_11.oif,3.729,1379.823,192610.029
MAX_hypoxia_1feb_11.oif,4.972,1378.208,192610.029
MAX_hypoxia_1feb_11.oif,6.215,1376.568,192610.029
MAX_hypoxia_1feb_11.oif,7.458,1359.92,192610.029
MAX_hypoxia_1feb_11.oif,8.701,1370.471,192610.029
MAX_hypoxia_1feb_11.oif,9.944,1380.563,192610.029
MAX_hypoxia_1feb_11.oif,11.187,1410.283,192610.029
MAX_hypoxia_1feb_11.oif,12.43,1416.802,192610.029
MAX_hypoxia_1feb_11.oif,13.673,1423.553,192610.029
MAX_hypoxia_1feb_11.oif,14.916,1421.747,192610.029
MAX_hypoxia_1feb_11.oif,16.159,1432.053,192610.029
MAX_hypoxia_1feb_11.oif,17.402,1421.356,192610.029
MAX_hypoxia_1feb_11.oif,18.645,1424.306,192610.029
MAX_hypoxia_1feb_11.oif,19.888,1422.534,192610.029
MAX_hypoxia_1feb_11.oif,21.13,1409.302,192610.029
MAX_hypoxia_1feb_11.oif,22.373,1397.352,192610.029
MAX_hypoxia_1feb_11.oif,23.616,1417.85,192610.029
MAX_hypoxia_1feb_11.oif,24.859,1417.082,192610.029
MAX_hypoxia_1feb_11.oif,26.102,1424.74,192610.029
MAX_hypoxia_1feb_11.oif,27.345,1434.326,192610.029
MAX_hypoxia_1feb_11.oif,28.588,1445.052,192610.029
MAX_hypoxia_1feb_11.oif,29.831,1470.871,192610.029
MAX_hypoxia_1feb_11.oif,31.074,1495.697,192610.029
MAX_hypoxia_1feb_11.oif,32.317,1517.297,192610.029
MAX_hypoxia_1feb_11.oif,33.56,1561.646,192610.029
MAX_hypoxia_1feb_11.oif,34.803,1599.489,192610.029
MAX_hypoxia_1feb_11.oif,36.046,1653.219,192610.029
MAX_hypoxia_1feb_11.oif,37.289,1674.357,192610.029
MAX_hypoxia_1feb_11.oif,38.532,1721.76,192610.029
MAX_hypoxia_1feb_11.oif,39.775,1734.392,192610.029
MAX_hypoxia_1feb_11.oif,41.018,1761.005,192610.029
MAX_hypoxia_1feb_11.oif,42.261,1756.058,192610.029
MAX_hypoxia_1feb_11.oif,43.504,1771.647,192610.029
MAX_hypoxia_1feb_11.oif,44.747,1810.036,192610.029
MAX_hypoxia_1feb_11.oif,45.99,1860.766,192610.029
MAX_hypoxia_1feb_11.oif,47.233,1891.569,192610.029
MAX_hypoxia_1feb_11.oif,48.476,1893.389,192610.029
MAX_hypoxia_1feb_11.oif,49.719,1878.021,192610.029
MAX_hypoxia_1feb_11.oif,50.962,1877.215,192610.029
MAX_hypoxia_1feb_11.oif,52.205,1897.372,192610.029
MAX_hypoxia_1feb_11.oif,53.448,1941.376,192610.029
MAX_hypoxia_1feb_11.oif,54.691,1957.177,192610.029
MAX_hypoxia_1feb_11.oif,55.934,1969.186,192610.029
MAX_hypoxia_1feb_11.oif,57.177,1971.879,192610.029
MAX_hypoxia_1feb_11.oif,58.42,1990.117,192610.029
