disc,distance,value,area
MAX_26thoct_10.oif,41.018,2092.095,153695.291
MAX_26thoct_10.oif,42.261,2113.837,153695.291
MAX_26thoct_10.oif,43.504,2131.023,153695.291
MAX_26thoct_10.oif,44.747,2073.688,153695.291
MAX_26thoct_10.oif,45.99,2067.533,153695.291
MAX_26thoct_10.oif,47.233,2096.457,153695.291
MAX_26thoct_10.oif,48.476,2081.004,153695.291
MAX_26thoct_10.oif,49.719,2066.958,153695.291
MAX_26thoct_10.oif,50.962,2088.258,153695.291
MAX_26thoct_10.oif,52.205,2081.688,153695.291
MAX_26thoct_10.oif,53.448,2094.128,153695.291
MAX_26thoct_10.oif,54.691,2120.132,153695.291
MAX_26thoct_10.oif,55.934,2127.869,153695.291
MAX_26thoct_10.oif,57.177,2188.795,153695.291
MAX_26thoct_10.oif,58.42,2198.702,153695.291
MAX_26thoct_10.oif,59.662,2255.882,153695.291
MAX_26thoct_10.oif,60.905,2311.945,153695.291
MAX_26thoct_10.oif,62.148,2308.608,153695.291
MAX_26thoct_10.oif,63.391,2345.432,153695.291
MAX_26thoct_10.oif,64.634,2338.293,153695.291
MAX_26thoct_10.oif,65.877,2347.267,153695.291
MAX_26thoct_10.oif,67.12,2395.43,153695.291
MAX_26thoct_10.oif,68.363,2379.564,153695.291
MAX_26thoct_10.oif,69.606,2391.897,153695.291
MAX_26thoct_10.oif,70.849,2397.776,153695.291
MAX_26thoct_10.oif,72.092,2426.529,153695.291
MAX_26thoct_10.oif,73.335,2375.86,153695.291
MAX_26thoct_10.oif,74.578,2354.895,153695.291
MAX_26thoct_10.oif,75.821,2403.925,153695.291
MAX_26thoct_10.oif,77.064,2402.464,153695.291
MAX_26thoct_10.oif,78.307,2462.471,153695.291
MAX_26thoct_10.oif,79.55,2425.367,153695.291
MAX_26thoct_10.oif,80.793,2398.039,153695.291
MAX_26thoct_10.oif,82.036,2424.779,153695.291
MAX_26thoct_10.oif,83.279,2379.526,153695.291
MAX_26thoct_10.oif,84.522,2424.463,153695.291
MAX_26thoct_10.oif,85.765,2454.379,153695.291
MAX_26thoct_10.oif,87.008,2475.553,153695.291
MAX_26thoct_10.oif,88.251,2480.525,153695.291
MAX_26thoct_10.oif,89.494,2458.465,153695.291
MAX_26thoct_10.oif,90.737,2458.815,153695.291
MAX_26thoct_10.oif,91.98,2504.834,153695.291
MAX_26thoct_10.oif,93.223,2453.145,153695.291
MAX_26thoct_10.oif,94.466,2428.541,153695.291
MAX_26thoct_10.oif,95.709,2443.11,153695.291
MAX_26thoct_10.oif,96.952,2388.439,153695.291
MAX_26thoct_10.oif,98.195,2382.014,153695.291
MAX_26thoct_10.oif,99.438,2390.281,153695.291
MAX_26thoct_10.oif,100.68,2432.556,153695.291
MAX_26thoct_10.oif,101.923,2385.927,153695.291
MAX_26thoct_10.oif,103.166,2383.58,153695.291
MAX_26thoct_10.oif,104.409,2421.104,153695.291
MAX_26thoct_10.oif,105.652,2422.107,153695.291
MAX_26thoct_10.oif,106.895,2440.213,153695.291
MAX_26thoct_10.oif,108.138,2428.159,153695.291
MAX_26thoct_10.oif,109.381,2422.998,153695.291
MAX_26thoct_10.oif,110.624,2481.28,153695.291
MAX_26thoct_10.oif,111.867,2517.427,153695.291
MAX_26thoct_10.oif,113.11,2504.433,153695.291
MAX_26thoct_10.oif,114.353,2476.904,153695.291
MAX_26thoct_10.oif,115.596,2518.994,153695.291
MAX_26thoct_10.oif,116.839,2605.422,153695.291
MAX_26thoct_10.oif,118.082,2617.869,153695.291
MAX_26thoct_10.oif,119.325,2600.132,153695.291
MAX_26thoct_10.oif,120.568,2554.245,153695.291
MAX_26thoct_10.oif,121.811,2602.17,153695.291
MAX_26thoct_10.oif,123.054,2633.365,153695.291
MAX_26thoct_10.oif,124.297,2607.115,153695.291
MAX_26thoct_10.oif,125.54,2627.935,153695.291
MAX_26thoct_10.oif,126.783,2651.802,153695.291
MAX_26thoct_10.oif,128.026,2736.243,153695.291
MAX_26thoct_10.oif,129.269,2738.256,153695.291
MAX_26thoct_10.oif,130.512,2817.894,153695.291
MAX_26thoct_10.oif,131.755,2708.491,153695.291
MAX_26thoct_10.oif,132.998,2573.447,153695.291
MAX_26thoct_10.oif,134.241,2633.558,153695.291
MAX_26thoct_10.oif,135.484,2644.064,153695.291
MAX_26thoct_10.oif,136.727,2586.966,153695.291
MAX_26thoct_10.oif,137.97,2635.035,153695.291
MAX_26thoct_10.oif,139.212,2651.943,153695.291
