disc,area,A,B,C,D,condition
MAX_hypoxia_1feb_22.oif,212143.101,0.493355042,0.879402731,-1.718486105,23.26779707,hypoxia
MAX_hypoxia_1feb_23.oif,204489.313,0.476823985,0.902338447,3.554788725,31.22318026,hypoxia
MAX_hypoxia_1feb_24.oif,176003.132,0.459331758,0.881491758,-0.281373412,23.47055175,hypoxia
MAX_hypoxia_1feb_25.oif,180557.707,0.486500974,0.904441084,-2.044563676,32.51636033,hypoxia
MAX_hypoxia_1feb_3.oif,185807.52,0.572544512,0.937960207,2.601149486,27.16376073,hypoxia
MAX_hypoxia_1feb_4.oif,150038.344,0.517389613,0.971881248,-2.657988324,27.3920813,hypoxia
MAX_hypoxia_1feb_5.oif,156191.965,0.403290879,0.898767273,1.422331966,28.27627789,hypoxia
MAX_hypoxia_1feb_6.oif,168794.296,0.453548965,0.878912934,-1.908823999,26.84368516,hypoxia
MAX_hypoxia_1feb_7.oif,207566.896,0.389553192,0.907375456,9.206202921,53.92967224,hypoxia
MAX_hypoxia_23jan_1.oif,169350.486,0.447373934,0.927038339,1.559224985,39.61526409,hypoxia
MAX_hypoxia_23jan_10.oif,201750.079,0.496765013,0.913476848,2.569267991,33.50359543,hypoxia
MAX_hypoxia_23jan_12.oif,166245.093,0.400989701,0.905110284,7.603818418,43.5398241,hypoxia
MAX_hypoxia_23jan_13.oif,148749.838,0.447972422,0.926023246,5.954117051,43.4853186,hypoxia
MAX_hypoxia_23jan_14.oif,179131.699,0.522477013,0.917500392,-0.457489893,30.70745333,hypoxia
MAX_hypoxia_23jan_15.oif,180803.358,0.473602693,0.915474299,0.935872934,33.22765438,hypoxia
MAX_hypoxia_23jan_16.oif,134050.981,0.492782401,0.909485678,8.495230253,24.95876001,hypoxia
MAX_hypoxia_23jan_17.oif,212153.916,0.429949642,0.851230304,3.662448962,33.2960159,hypoxia
MAX_hypoxia_23jan_18.oif,155200.093,0.520554458,0.90200807,2.379400441,26.94664202,hypoxia
MAX_hypoxia_23jan_19.oif,158206.607,0.444736176,0.905815218,1.327930749,28.20390902,hypoxia
MAX_hypoxia_23jan_20.oif,146186.731,0.423782555,0.931516361,-0.478786523,30.75690297,hypoxia
MAX_hypoxia_23jan_21.oif,160775.895,0.606440084,0.901354027,3.056987551,22.58153196,hypoxia
MAX_hypoxia_23jan_22.oif,164642.958,0.514482099,0.935347878,-0.17075673,32.58765798,hypoxia
MAX_hypoxia_23jan_23.oif,159536.828,0.505035052,0.88104491,2.630467833,30.10681926,hypoxia
MAX_hypoxia_23jan_24.oif,169267.057,0.543184424,0.925370728,-0.376291645,31.04177559,hypoxia
MAX_hypoxia_23jan_3.oif,159884.446,0.482299366,0.881505629,3.589967881,31.57259355,hypoxia
MAX_hypoxia_23jan_4.oif,136522.935,0.477554987,0.933383569,0.14815192,37.66981059,hypoxia
MAX_hypoxia_23jan_5.oif,180125.115,0.477693609,0.928846875,2.696318236,38.64096964,hypoxia
MAX_hypoxia_23jan_6.oif,144326.585,0.551213261,0.958637971,-5.314121101,35.49625133,hypoxia
MAX_hypoxia_23jan_7.oif,188545.209,0.539089933,0.890636799,5.725879952,38.27754853,hypoxia
MAX_hypoxia_23jan_8.oif,190613.926,0.530026521,0.876879275,9.0172623,38.206512,hypoxia
MAX_hypoxia_23jan_9.oif,183361.83,0.528278797,0.892624076,8.198505032,30.05768936,hypoxia
